x		y
245		0.0332041783984438
245.25		-0.0546679895959616
245.5		0.0558155052591704
245.75		-0.0363147244136139
246		0.0989198694794738
246.25		-0.00662397677968261
246.5		0.0077009202797343
246.75		0.0682863570052615
247		0.0443876435365171
247.25		-0.0341578204504461
247.5		0.0345094405800483
247.75		0.0477119899650732
248		0.0357700365110905
248.25		0.0753274251612733
248.5		0.0269103253723008
248.75		0.0942044498939267
249		0.0932976850286538
249.25		0.0674430152587425
249.5		-0.00539271355771219
249.75		0.0618214308562849
250		0.0432442228438201
250.25		0.0597215652332384
250.5		0.0178865434683251
250.75		0.165513370430987
251		0.151601142845354
251.25		0.0706344573302738
251.5		0.202993322876896
251.75		0.149000161084939
252		0.214530505603788
252.25		0.164316141834732
252.5		0.242962441580912
252.75		0.226213745999225
253		0.310781878776043
253.25		0.366329823839828
253.5		0.422289670095297
253.75		0.555390906302683
254		0.600771598708707
254.25		0.826361266746425
254.5		0.979537456721659
254.75		1.19228174302254
255		1.63455185545071
255.25		1.9535997275639
255.5		2.56935808179512
255.75		2.90313323359528
256		3.16800589193863
256.25		2.9898085551456
256.5		2.54634685809263
256.75		2.08608686140844
257		1.58072994101077
257.25		1.20469827457844
257.5		0.922976443148927
257.75		0.851888067331135
258		0.709225150399298
258.25		0.564692315589599
258.5		0.463222821852274
258.75		0.345442019676267
259		0.306876064825335
259.25		0.236239848864697
259.5		0.24867727286658
259.75		0.167195112843823
260		0.214325900231682
260.25		0.173938186182465
260.5		0.161297217224101
260.75		0.152973820526521
261		0.153816267126951
261.25		0.186722376912822
261.5		0.0461276172007444
261.75		0.0840514057768559
262		0.0527988186942523
262.25		0.144737139465299
262.5		0.068342166075785
262.75		0.0715715608822156
263		0.0753286087079681
263.25		0.0807660683792144
263.5		0.0564494360268529
263.75		0.0491742465766599
264		0.027397112872286
264.25		0.118927992862088
264.5		-0.0376958374567168
264.75		0.0490243555645613
265		0.0962869903580373
265.25		0.0608262816437165
265.5		-0.0358908571416982
265.75		-0.0270561123765273
266		0.0446424784713744
266.25		0.123801818155052
266.5		0.0410057092429226
266.75		-0.00452661206470823
267		0.0279536674876285
267.25		0.0229983443652006
267.5		0.0562279380993477
267.75		0.0282423213180586
268		0.0485592026980566
268.25		0.0169664734583775
268.5		0.0161371751013309
268.75		0.0327982403224268
269		0.0717285539442371
269.25		0.0196109470471181
269.5		-0.0282103862587882
269.75		-0.0109040146770218
270		-0.0717446685458652
270.25		0.0344482871072868
270.5		-0.0144505992644034
270.75		0.0274943241386061
271		0.0188958338839408
271.25		-0.0174410127157533
271.5		-0.0344850704526192
271.75		-0.0159394102792425
272		0.0495736797036714
272.25		-0.0208030706887975
272.5		-0.0534168801436015
272.75		0.00681994687133376
273		-0.10593586769362
273.25		0.0591347802203789
273.5		0.0317597227616388
273.75		-0.00230134654275074
274		0.0154751647939291
274.25		0.0140423732488275
274.5		0.0538336875721588
274.75		-0.0255918604273193
275		0.0236636848876416
275.25		0.00336158568106809
275.5		-0.0130593038088552
275.75		-0.0121114626557972
276		-0.0871633459176596
276.25		-0.0297427456783738
276.5		0.0441292354013447
276.75		0.0412426228870362
277		-0.00081693293299395
277.25		0.0643797682695958
277.5		-0.0768303394756289
277.75		0.0964668307541108
278		0.00613523130253406
278.25		0.0178891118882948
278.5		-0.061447528760873
278.75		0.0240136783194434
279		0.00940470825740034
279.25		0.0142773638969229
279.5		0.00143975365407041
279.75		-0.00156589316676638
280		-0.0292034129719228
280.25		0.00516992566989975
280.5		0.0903361405469676
280.75		-0.0143483437158982
281		-0.0259774923282747
281.25		0.0320746955038271
281.5		0.0175173971376106
281.75		0.015360393998088
282		0.0309444874523939
282.25		0.090431659150488
282.5		0.0249034244082838
282.75		-0.0531176876207743
283		-0.00419565202976473
283.25		-0.00697982677504007
283.5		-0.0147917996978864
283.75		-0.0937229043795861
284		-0.119742457539163
284.25		0.020310785779408
284.5		0.00409078958928227
284.75		0.0373619647499565
285		-0.0018215418510097
